,中间词,外围连接词,权重
0,30,4,1
1,28,4,1
2,52,4,1
3,54,4,1
4,44,4,1
5,19,4,1
6,1,4,1
7,56,7,1
8,52,7,1
9,32,7,1
10,29,8,1
11,71,8,1
12,68,9,1
13,30,10,1
14,90,10,1
15,30,12,1
16,17,12,1
17,29,13,1
18,30,13,1
19,29,14,1
20,71,14,1
21,2,14,1
22,29,15,1
23,30,15,1
24,56,15,1
25,28,15,1
26,89,15,1
27,29,20,1
28,71,20,1
29,90,20,1
30,96,20,1
31,73,20,1
32,29,34,1
33,30,34,1
34,90,34,1
35,3,34,1
36,97,34,1
37,68,34,1
38,42,34,1
39,62,34,1
40,29,33,1
41,101,33,1
42,73,33,1
43,27,33,1
44,30,35,1
45,71,35,1
46,56,35,1
47,3,35,1
48,23,35,1
49,65,35,1
50,96,35,1
51,94,35,1
52,84,35,1
53,25,35,1
54,11,35,1
55,32,35,1
56,18,35,1
57,24,35,1
58,30,36,1
59,71,36,1
60,25,36,1
61,49,36,1
62,32,36,1
63,0,36,1
64,101,37,1
65,27,37,1
66,71,38,1
67,56,38,1
68,90,38,1
69,101,38,1
70,63,38,1
71,32,38,1
72,29,39,1
73,30,39,1
74,71,39,1
75,3,39,1
76,53,39,1
77,29,40,1
78,30,45,1
79,90,46,1
80,43,46,1
81,73,46,1
82,56,47,1
83,90,47,1
84,73,47,1
85,56,48,1
86,56,50,1
87,3,50,1
88,44,50,1
89,5,50,1
90,56,51,1
91,42,51,1
92,59,51,1
93,90,55,1
94,3,57,1
95,29,58,1
96,30,58,1
97,71,58,1
98,56,58,1
99,90,58,1
100,28,58,1
101,97,58,1
102,52,58,1
103,96,58,1
104,101,58,1
105,68,58,1
106,54,58,1
107,42,58,1
108,62,58,1
109,69,58,1
110,43,58,1
111,70,58,1
112,31,58,1
113,73,58,1
114,79,58,1
115,99,58,1
116,22,58,1
117,60,58,1
118,41,58,1
119,26,58,1
120,71,66,1
121,56,66,1
122,18,66,1
123,6,66,1
124,92,66,1
125,22,66,1
126,29,74,1
127,52,74,1
128,70,74,1
129,82,74,1
130,96,75,1
131,68,76,1
132,62,76,1
133,30,77,1
134,25,77,1
135,44,77,1
136,16,77,1
137,5,77,1
138,61,77,1
139,64,77,1
140,43,78,1
141,71,80,1
142,56,80,1
143,96,80,1
144,73,80,1
145,21,80,1
146,29,81,1
147,30,81,1
148,56,81,1
149,90,81,1
150,28,81,1
151,97,81,1
152,68,81,1
153,49,81,1
154,32,81,1
155,67,81,1
156,28,83,1
157,97,83,1
158,62,83,1
159,97,85,1
160,95,86,1
161,90,87,1
162,90,88,1
163,42,88,1
164,43,88,1
165,90,91,1
166,27,91,1
167,29,93,1
168,3,93,1
169,68,93,1
170,28,98,1
171,72,98,1
172,62,100,1
