,nodes
0,Access Control (CS_marginal)
1,Activity Recognition (CS_marginal)
2,Adaptive Design (CS_marginal)
3,Agility (CS_middle)
4,Agitation (MI)
5,Anomaly Detecting (CS_middle)
6,Artificial Intelligence (CS_middle)
7,B-Model (MI)
8,Cancer (MI)
9,Cellular Phone (MI)
10,Chronic Disease (MI)
11,Classification (CS_basic)
12,Clinical Decision Making Support System (MI)
13,Clinical Practice (MI)
14,Clinical Trial (MI)
15,Communication (MI)
16,Complex Adaptive Systems (CS_marginal)
17,Computer Assisted Decision Making (CS_middle)
18,Computer Security (CS_marginal)
19,Computer Simulation (CS_marginal)
20,Consumer Health Informatics (MI)
21,Crowd-Sourcing (CS_marginal)
22,Data Banks (CS_marginal)
23,Data Coding (CS_marginal)
24,Data Presentation (CS_marginal)
25,Data Quality (CS_marginal)
26,Data Security (CS_marginal)
27,Data Visualisation (CS_middle)
28,Dea Analysis (CS_marginal)
29,Decision Making (CS_middle)
30,Decision Support System (CS_middle)
31,Distance Education (CS_detail)
32,Document Analysis (CS_marginal)
33,E-Health Card (MI)
34,Eheals (MI)
35,Electronic Health Record (MI)
36,Electronic Medical Record (MI)
37,Ethnology (MI)
38,Evaluating (MI)
39,Evidence Base Medicine (MI)
40,Exercise (MI)
41,Expert System (CS_middle)
42,FIR Filter (CS_marginal)
43,Facial Feature Detection (CS_marginal)
44,Forensic Identification (CS_marginal)
45,General Practice (MI)
46,Health Communication (MI)
47,Health Informatics (MI)
48,Health Information Technology (MI)
49,Human Computer Interaction (CS_detail)
50,Implementation (MI)
51,Informatics (MI)
52,Informatics Technology (CS_middle)
53,Information Extraction (CS_marginal)
54,Information Rerieval (CS_middle)
55,Information Seeking Behavior Change (MI)
56,Information System (CS_middle)
57,Inpatient Safety (MI)
58,Internet (MI)
59,Interpolation Artefact (CS_middle)
60,Knowledge Acquisition (CS_detail)
61,Knowledge Discovery (CS_middle)
62,Knowledge Management (CS_middle)
63,Knowledge Representation (CS_middle)
64,Learning Algorithm (CS_detail)
65,Machine Learning (CS_basic)
66,Medical Informatics (MI)
67,Mixture Model (CS_basic)
68,Model Selection (CS_basic)
69,Motion Learning (CS_marginal)
70,Multi-Media Systems (CS_detail)
71,Natural Language Processing (CS_middle)
72,Online Intervention (CS_marginal)
73,Online System (CS_detail)
74,Parent Education (MI)
75,Personal Health Record (MI)
76,Physical Activity (MI)
77,Primary Care (MI)
78,Primary Health Care (MI)
79,Problem Based Learning (CS_marginal)
80,Public Health Informatics (MI)
81,Qualitative Evaluation (MI)
82,R Software (CS_marginal)
83,Randomised Controlled Trial (MI)
84,Security (CS_middle)
85,Self Care (MI)
86,Self Management (MI)
87,Smoking Cessation (MI)
88,Social Media (MI)
89,Social Network Analysis (CS_detail)
90,Social Networking Sites (CS_middle)
91,Social Support (MI)
92,Software Design (CS_marginal)
93,Tele-Medicine (MI)
94,Text Mining (CS_middle)
95,Usability Testing (CS_middle)
96,User Computer Interface (CS_marginal)
97,Web Site (CS_detail)
98,Web-Based Intervention (MI)
99,Web-Based Services (CS_marginal)
100,Weight Loss (MI)
101,World Wide Web (CS_marginal)
