,中间词,外围连接词,权重
0,19,51,1
1,19,7,1
2,19,30,1
3,20,5,1
4,20,16,1
5,43,49,1
6,43,46,1
7,53,33,1
8,0,31,1
9,17,26,1
10,17,11,1
11,65,37,1
12,3,22,1
13,61,14,1
14,66,63,1
15,66,21,1
16,66,57,1
17,66,10,1
18,66,38,1
19,66,55,1
20,59,27,1
21,52,22,1
22,18,9,1
23,40,42,1
24,44,41,1
25,6,1,1
26,23,48,1
27,23,24,1
28,45,51,1
29,45,50,1
30,15,64,1
31,15,62,1
32,54,64,1
33,54,60,1
34,54,39,1
35,58,14,1
36,58,32,1
37,58,35,1
38,12,41,1
39,13,25,1
40,13,28,1
41,13,29,1
42,56,1,1
43,8,31,1
44,4,31,1
45,34,47,1
46,34,46,1
47,2,36,1
