,nodes
0,Agility (CS_middle)
1,Alzheimer Disease (MI)
2,Bar Code (CS_marginal)
3,Bayesian Analyses (CS_middle)
4,Big Data (CS_middle)
5,Children (MI)
6,Classification (CS_basic)
7,Clinical Judgement (MI)
8,Cloud Computing (CS_marginal)
9,Cognitive Aids (MI)
10,Cognitive Impairment Not Dementia (MI)
11,Comparative Effectiveness Research (MI)
12,Complex Adaptive Systems (CS_marginal)
13,Complex Network (CS_detail)
14,Computer System (MI)
15,Coreference (CS_marginal)
16,Databases And Data Mining (MI)
17,Dea Analysis (CS_marginal)
18,Decision Analyses (CS_marginal)
19,Decision Making (CS_middle)
20,Decision Support System (CS_middle)
21,Dementia (MI)
22,Diagnostic Test (MI)
23,Distance Education (CS_detail)
24,Education Technology (MI)
25,Educational Status (MI)
26,Effectiveness (MI)
27,Electronic Cigarettes (MI)
28,Electronic Health Information (MI)
29,Evaluation Of Electronic Resources (MI)
30,Evidence-Based Health Care (MI)
31,Exome (MI)
32,Ict System (MI)
33,Information Dissemination (MI)
34,Knowledge Acquisition (CS_detail)
35,Life Cycle (MI)
36,Medication Safety (MI)
37,Medicine 2.0 (MI)
38,Mild Cognitive Impairment (MI)
39,Motility (MI)
40,Motion Learning (CS_marginal)
41,Multi-Morbidity (MI)
42,Musculoskeletal Diseases (MI)
43,Natural Language Processing (CS_middle)
44,Non Linear Dynamics (CS_detail)
45,Online System (CS_detail)
46,Pharmacovigilance (MI)
47,Philosophy Of Medicine (MI)
48,Program Evaluation (MI)
49,Pubmed (MI)
50,Risk Calculation (MI)
51,Risk Perception (MI)
52,Sensitivity Analyses (CS_detail)
53,Social Networking Sites (CS_middle)
54,Spiking Neuron (CS_detail)
55,Staff (MI)
56,Support Vector Machine (CS_basic)
57,Symptoms (MI)
58,System Development (CS_marginal)
59,Text Mining (CS_middle)
60,Time Trade-Off (MI)
61,User Computer Interface (CS_marginal)
62,Utilities (MI)
63,Validation Studies (MI)
64,Visual Analog Scale (MI)
65,Web Site (CS_detail)
66,World Wide Web (CS_marginal)
