,中间词,外围连接词,权重
0,34,91,1
1,34,111,1
2,34,7,1
3,35,70,1
4,35,43,1
5,69,40,1
6,69,65,1
7,69,114,1
8,53,27,1
9,103,42,1
10,103,5,1
11,103,112,1
12,3,2,1
13,33,13,1
14,33,18,1
15,115,78,1
16,29,106,1
17,29,4,1
18,64,15,1
19,113,24,1
20,116,76,1
21,116,26,1
22,109,86,1
23,109,93,1
24,109,17,1
25,60,102,1
26,31,95,1
27,31,104,1
28,101,11,1
29,101,88,1
30,101,97,1
31,101,36,1
32,101,44,1
33,101,74,1
34,52,25,1
35,59,110,1
36,73,49,1
37,73,10,1
38,73,38,1
39,73,56,1
40,73,19,1
41,37,0,1
42,77,98,1
43,28,50,1
44,99,80,1
45,99,6,1
46,99,16,1
47,21,20,1
48,22,41,1
49,22,85,1
50,100,55,1
51,100,79,1
52,100,23,1
53,100,30,1
54,105,39,1
55,105,67,1
56,61,81,1
57,96,86,1
58,1,8,1
59,71,63,1
60,94,51,1
61,14,54,1
62,62,82,1
63,68,44,1
64,89,90,1
65,107,10,1
66,107,38,1
67,107,56,1
68,45,72,1
69,57,75,1
70,57,92,1
71,58,83,1
72,84,108,1
73,9,66,1
74,12,87,1
75,47,48,1
76,32,46,1
