,nodes
0,2-Period Cross-Over (MI)
1,Access Control (CS_marginal)
2,Accessibility (MI)
3,Agility (CS_middle)
4,Amira (MI)
5,Anorexia Nervosa (MI)
6,Archetype (MI)
7,Artial Fibrillation (MI)
8,Authorisation (MI)
9,Bar Code (CS_marginal)
10,Battered Women (MI)
11,Bayes Theorem (MI)
12,Bench Marking (CS_marginal)
13,Bias Correction (MI)
14,Big Data (CS_middle)
15,Casual Inference (MI)
16,Clinical Archetypes (MI)
17,Clinical Text (MI)
18,Clinical Thinking (MI)
19,Complexity In Health (MI)
20,Computer Communication Network (MI)
21,Computer Security (CS_marginal)
22,Computer Simulation (CS_marginal)
23,Computerised Medical Record (MI)
24,Computerised Medical Record Systems (MI)
25,Consumer Health (MI)
26,Consumer Informatics (MI)
27,Cooperative Behavior Change (MI)
28,Coreference (CS_marginal)
29,Data Coding (CS_marginal)
30,Data Integration (MI)
31,Data Quality (CS_marginal)
32,Data Security (CS_marginal)
33,Dea Analysis (CS_marginal)
34,Decision Making (CS_middle)
35,Decision Support System (CS_middle)
36,Diagnostic Accuracy (MI)
37,Distance Education (CS_detail)
38,Domestic Violence (MI)
39,Drug Delivery (MI)
40,Drug-Drug Interaction (MI)
41,E-Simulation (MI)
42,Eating Disorder (MI)
43,Epileptic Seizure (MI)
44,Fixed Effects (MI)
45,Fully Automated (CS_marginal)
46,Gene Expression Analysis (MI)
47,Group Recommender System (CS_marginal)
48,Guideline Development (MI)
49,Health Care Record (MI)
50,Health Utilities Index (MI)
51,Hierarchical Model (MI)
52,Human Computer Interaction (CS_detail)
53,Information System (CS_middle)
54,Internet Research (MI)
55,Interoperability (MI)
56,Intimate Partner Violence (MI)
57,Inverse Probability Weighting (CS_middle)
58,Knowledge Acquisition (CS_detail)
59,Knowledge Management (CS_middle)
60,Knowledge Representation (CS_middle)
61,Lcmodel (CS_marginal)
62,Learning Algorithm (CS_detail)
63,Logistic Regression (MI)
64,Machine Learning (CS_basic)
65,Medical Subject Heading (MI)
66,Medication Administration (MI)
67,Mereology (MI)
68,Missing Data (CS_marginal)
69,Natural Language Processing (CS_middle)
70,Nephrology (MI)
71,Neural Network (CS_basic)
72,New Treatment (MI)
73,Non Linear Dynamics (CS_detail)
74,Non-Inferiority Test (MI)
75,Observation Study (MI)
76,Online Survey (MI)
77,Online System (CS_detail)
78,Online Treatment (MI)
79,Ontologies (MI)
80,Openehr (MI)
81,Organisational Framework (MI)
82,Organisational Learning (MI)
83,Osteoporosis (MI)
84,Partitioning (CS_marginal)
85,Patient Simulation (MI)
86,Pharmacogenetic (MI)
87,Physiotherapy (MI)
88,Pocket (MI)
89,Pram Nets (CS_marginal)
90,Prevalence (MI)
91,Priority Setting (MI)
92,Progression (MI)
93,Protein-Protein Interaction (MI)
94,Random Effect Model (CS_marginal)
95,Risk-Based Monitoring (MI)
96,Salience (CS_middle)
97,Sample Size Adjustment (MI)
98,Self-Help Groups (MI)
99,Semantic Interoperability (CS_middle)
100,Semantic Net (CS_middle)
101,Sensitivity Analyses (CS_detail)
102,Snomed Ct (MI)
103,Social Networking Sites (CS_middle)
104,Source Document Verification (MI)
105,Spiking Neuron (CS_detail)
106,Survival Analyisis (MI)
107,System Modeling (CS_detail)
108,Taxonomy (MI)
109,Text Mining (CS_middle)
110,Transcelerate (MI)
111,Treatment Decision Making (MI)
112,Twitter Messaging (MI)
113,User Computer Interface (CS_marginal)
114,Verb Subcategorization (MI)
115,Web Site (CS_detail)
116,World Wide Web (CS_marginal)
