,中间词,外围连接词,权重
0,47,81,1
1,47,37,1
2,47,155,1
3,47,137,1
4,47,78,1
5,47,18,1
6,47,16,1
7,47,62,1
8,47,32,1
9,47,38,1
10,47,83,1
11,47,127,1
12,47,158,1
13,47,56,1
14,47,165,1
15,47,124,1
16,47,126,1
17,47,59,1
18,47,93,1
19,47,133,1
20,47,0,1
21,47,49,1
22,47,162,1
23,47,22,1
24,47,45,1
25,47,141,1
26,47,17,1
27,48,82,1
28,48,67,1
29,48,51,1
30,48,115,1
31,48,34,1
32,48,6,1
33,48,103,1
34,48,22,1
35,48,26,1
36,113,130,1
37,113,117,1
38,113,104,1
39,113,90,1
40,113,107,1
41,113,35,1
42,89,82,1
43,89,67,1
44,89,83,1
45,89,75,1
46,89,58,1
47,89,101,1
48,89,77,1
49,149,79,1
50,149,31,1
51,149,55,1
52,149,66,1
53,8,29,1
54,8,116,1
55,8,62,1
56,8,90,1
57,8,115,1
58,8,140,1
59,8,11,1
60,8,132,1
61,8,57,1
62,44,154,1
63,44,162,1
64,44,141,1
65,44,25,1
66,163,60,1
67,163,146,1
68,163,123,1
69,163,73,1
70,15,37,1
71,15,155,1
72,15,52,1
73,85,153,1
74,85,106,1
75,85,87,1
76,85,121,1
77,85,28,1
78,160,103,1
79,160,69,1
80,160,102,1
81,160,57,1
82,166,12,1
83,166,83,1
84,166,122,1
85,166,50,1
86,86,117,1
87,86,16,1
88,157,16,1
89,157,6,1
90,96,127,1
91,96,31,1
92,96,14,1
93,96,24,1
94,145,130,1
95,42,82,1
96,42,104,1
97,42,40,1
98,42,135,1
99,42,107,1
100,109,108,1
101,109,156,1
102,88,61,1
103,88,68,1
104,88,23,1
105,88,91,1
106,46,56,1
107,46,124,1
108,84,107,1
109,84,161,1
110,63,52,1
111,95,9,1
112,110,137,1
113,110,38,1
114,110,92,1
115,114,125,1
116,114,9,1
117,21,7,1
118,21,51,1
119,64,55,1
120,111,158,1
121,111,133,1
122,54,61,1
123,54,72,1
124,54,115,1
125,54,135,1
126,54,68,1
127,53,68,1
128,119,99,1
129,119,143,1
130,36,137,1
131,70,80,1
132,70,135,1
133,147,117,1
134,33,130,1
135,33,105,1
136,33,35,1
137,33,76,1
138,43,118,1
139,139,60,1
140,139,158,1
141,139,133,1
142,3,81,1
143,3,153,1
144,3,158,1
145,98,120,1
146,1,100,1
147,1,165,1
148,1,87,1
149,30,55,1
150,39,51,1
151,131,144,1
152,159,5,1
153,159,125,1
154,10,153,1
155,27,130,1
156,27,16,1
157,97,154,1
158,164,107,1
159,128,129,1
160,128,142,1
161,150,138,1
162,4,136,1
163,4,20,1
164,4,74,1
165,65,137,1
166,65,134,1
167,94,100,1
168,152,55,1
169,41,7,1
170,71,127,1
171,112,151,1
172,148,19,1
173,2,50,1
174,13,18,1
